Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
2,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,9
1,0.595,0.465,0.15,0.919,0.4335,0.1765,0.262,9
2,0.605,0.455,0.145,0.9775,0.468,0.1775,0.275,9
3,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,9
1,0.515,0.405,0.145,0.695,0.215,0.1635,0.234,15
2,0.54,0.385,0.14,0.7655,0.3265,0.116,0.2365,10
1,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8
1,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15
3,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,5
2,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10
2,0.59,0.46,0.145,0.9905,0.453,0.2205,0.275,8
3,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8
1,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,10
1,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,16
1,0.535,0.435,0.15,0.717,0.3475,0.1445,0.194,9
3,0.4,0.315,0.09,0.33,0.151,0.068,0.08,6
1,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14
2,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,14
1,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10
1,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,10
2,0.735,0.565,0.205,2.1275,0.949,0.46,0.565,12
1,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,11
1,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,9
1,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15
2,0.5,0.38,0.14,0.6355,0.277,0.143,0.1785,8
1,0.54,0.425,0.12,0.817,0.2945,0.153,0.195,10
1,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,10
1,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,8
2,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,18
2,0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,9
2,0.655,0.505,0.195,1.4405,0.688,0.3805,0.363,11
1,0.66,0.505,0.19,1.4385,0.6775,0.285,0.178,11
1,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11
3,0.475,0.365,0.125,0.5465,0.229,0.1185,0.172,9
3,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,7
2,0.55,0.43,0.155,0.785,0.289,0.227,0.233,11
1,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
3,0.36,0.27,0.09,0.219,0.097,0.0405,0.065,6
2,0.625,0.49,0.165,1.127,0.477,0.2365,0.3185,9
1,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,8
3,0.4,0.295,0.095,0.252,0.1105,0.0575,0.066,6
1,0.575,0.45,0.185,0.925,0.342,0.197,0.35,12
3,0.44,0.345,0.1,0.366,0.122,0.0905,0.12,13
2,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7
2,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19
3,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7
2,0.47,0.355,0.18,0.441,0.1525,0.1165,0.135,8
3,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6
3,0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895,10
3,0.585,0.42,0.145,0.6735,0.2895,0.1345,0.22,9
