Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
2,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,12
1,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115,10
2,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,11
1,0.56,0.425,0.135,0.849,0.3265,0.221,0.2645,10
2,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,9
1,0.63,0.51,0.23,1.539,0.5635,0.2815,0.57,17
3,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
1,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
3,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17
1,0.595,0.48,0.185,1.1785,0.526,0.2975,0.314,10
1,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,9
1,0.525,0.38,0.125,0.65,0.303,0.155,0.159,7
1,0.64,0.485,0.15,1.098,0.5195,0.222,0.3175,10
1,0.565,0.45,0.16,0.895,0.415,0.195,0.246,9
3,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5
3,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9
3,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6
2,0.6,0.5,0.16,1.122,0.5095,0.256,0.309,10
1,0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535,8
3,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,8
2,0.68,0.52,0.185,1.494,0.615,0.3935,0.406,11
3,0.35,0.26,0.075,0.18,0.09,0.0245,0.055,5
1,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7
2,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,7
3,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,7
2,0.51,0.34,0.18,0.7005,0.312,0.165,0.2,11
1,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,9
3,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7
1,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,14
3,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7
3,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10
3,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7
2,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10
1,0.535,0.44,0.165,0.875,0.279,0.18,0.3,10
1,0.63,0.47,0.15,1.1355,0.539,0.2325,0.3115,12
2,0.655,0.515,0.18,1.412,0.6195,0.2485,0.497,11
1,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135,8
1,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9
3,0.495,0.375,0.115,0.507,0.241,0.103,0.15,8
2,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10
3,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4
1,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12
3,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5
1,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10
1,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,8
3,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295,9
3,0.475,0.365,0.115,0.499,0.232,0.0885,0.156,10
1,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,11
1,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,6
3,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
