Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
3,0.44,0.32,0.105,0.3875,0.1755,0.074,0.12,9
3,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,9
1,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655,9
1,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8
1,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14
2,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20
2,0.47,0.35,0.115,0.487,0.1955,0.127,0.155,8
1,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8
1,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10
3,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525,11
1,0.645,0.52,0.175,1.561,0.709,0.3555,0.4,8
3,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
1,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,12
1,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,10
1,0.575,0.45,0.13,0.785,0.318,0.193,0.2265,9
2,0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,10
3,0.485,0.375,0.14,0.521,0.2,0.123,0.17,8
3,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7
2,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11
2,0.62,0.49,0.16,1.056,0.493,0.244,0.2725,9
1,0.63,0.485,0.18,1.2435,0.5175,0.308,0.37,11
1,0.67,0.525,0.17,1.4005,0.715,0.3025,0.387,9
1,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6
3,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,8
2,0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263,10
1,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13
3,0.515,0.36,0.125,0.4725,0.1815,0.125,0.138,9
1,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,23
1,0.695,0.53,0.21,1.51,0.664,0.4095,0.385,10
2,0.57,0.495,0.16,1.0915,0.452,0.275,0.315,14
3,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,9
3,0.515,0.415,0.135,0.7125,0.285,0.152,0.245,10
3,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17
1,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,11
1,0.61,0.48,0.185,1.3065,0.6895,0.2915,0.29,10
3,0.255,0.19,0.06,0.086,0.04,0.0185,0.025,5
3,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,6
1,0.705,0.555,0.215,2.141,1.0465,0.383,0.528,11
1,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,9
1,0.595,0.45,0.145,0.959,0.463,0.2065,0.2535,10
1,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,12
3,0.56,0.44,0.13,0.7235,0.349,0.149,0.2,8
1,0.51,0.395,0.145,0.6185,0.216,0.1385,0.24,12
3,0.53,0.42,0.14,0.6765,0.256,0.1855,0.208,9
1,0.62,0.48,0.165,1.0725,0.4815,0.235,0.312,9
2,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,5
2,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005,11
1,0.645,0.495,0.15,1.2095,0.603,0.2225,0.339,9
2,0.49,0.37,0.115,0.541,0.171,0.1175,0.185,11
3,0.505,0.39,0.185,0.6125,0.267,0.142,0.172,7
