Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
3,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8
1,0.6,0.45,0.145,0.877,0.4325,0.155,0.24,9
3,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8
2,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,21
3,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,10
3,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8
2,0.565,0.45,0.165,0.887,0.37,0.239,0.249,11
3,0.375,0.285,0.08,0.226,0.0975,0.04,0.0725,7
2,0.505,0.41,0.135,0.657,0.291,0.133,0.195,15
1,0.5,0.385,0.12,0.6335,0.2305,0.125,0.235,14
1,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,13
3,0.44,0.34,0.1,0.379,0.1725,0.0815,0.101,7
1,0.62,0.48,0.16,1.0765,0.412,0.253,0.3,13
1,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12
3,0.625,0.46,0.16,1.2395,0.55,0.273,0.38,14
2,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,10
3,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4
1,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,7
3,0.525,0.4,0.14,0.6055,0.2605,0.108,0.21,9
2,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10
2,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,7
1,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,8
1,0.63,0.505,0.15,1.3165,0.6325,0.2465,0.37,11
1,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28,11
1,0.565,0.44,0.155,0.868,0.348,0.217,0.26,11
2,0.545,0.41,0.115,0.6765,0.29,0.158,0.22,9
1,0.65,0.52,0.195,1.676,0.693,0.44,0.47,15
3,0.385,0.28,0.125,0.244,0.102,0.038,0.085,6
3,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,5
2,0.46,0.375,0.12,0.4915,0.2205,0.088,0.17,7
3,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,6
1,0.575,0.45,0.135,0.9215,0.354,0.209,0.2365,9
1,0.64,0.495,0.17,1.139,0.5395,0.282,0.285,10
2,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13
3,0.44,0.335,0.115,0.4215,0.173,0.0765,0.113,7
1,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,8
1,0.63,0.505,0.165,1.26,0.4525,0.2755,0.406,14
1,0.49,0.39,0.135,0.592,0.242,0.096,0.1835,15
3,0.53,0.425,0.13,0.781,0.3905,0.2005,0.215,9
1,0.34,0.255,0.095,0.213,0.081,0.034,0.07,9
2,0.58,0.425,0.15,0.844,0.3645,0.185,0.2705,9
3,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,9
2,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42,13
3,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,5
2,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,9
2,0.675,0.535,0.185,1.5575,0.7035,0.402,0.4,11
3,0.27,0.205,0.075,0.118,0.059,0.031,0.0305,4
3,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7
2,0.455,0.355,1.13,0.594,0.332,0.116,0.1335,8
1,0.64,0.53,0.165,1.1895,0.4765,0.3,0.35,11
