Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
3,0.5,0.38,0.11,0.5605,0.28,0.106,0.15,9
3,0.58,0.46,0.14,0.8295,0.3915,0.165,0.238,10
3,0.47,0.355,0.145,0.4485,0.156,0.102,0.123,7
1,0.58,0.45,0.175,1.068,0.425,0.203,0.32,13
2,0.545,0.43,0.16,0.844,0.3945,0.1855,0.231,9
1,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
1,0.625,0.48,0.145,1.085,0.4645,0.2445,0.327,10
1,0.625,0.495,0.175,1.254,0.5815,0.286,0.3185,9
1,0.6,0.495,0.185,1.1145,0.5055,0.2635,0.367,11
3,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123,7
3,0.395,0.31,0.095,0.313,0.131,0.072,0.093,7
3,0.555,0.46,0.145,0.9005,0.3845,0.158,0.2765,11
1,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8
2,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,17
3,0.545,0.405,0.135,0.5945,0.27,0.1185,0.185,8
2,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,11
1,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7
3,0.575,0.45,0.15,0.858,0.449,0.166,0.215,10
2,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,10
2,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13
2,0.67,0.545,0.175,1.707,0.6995,0.387,0.575,13
1,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335,13
2,0.545,0.4,0.14,0.778,0.368,0.215,0.18,9
1,0.59,0.47,0.15,0.861,0.413,0.164,0.249,8
3,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,8
1,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,9
1,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
3,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,11
3,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
3,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,12
1,0.665,0.515,0.2,1.2695,0.5115,0.2675,0.436,12
1,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,3
2,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5
3,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7
1,0.66,0.51,0.18,1.261,0.5,0.2335,0.339,10
3,0.285,0.215,0.07,0.1075,0.051,0.0225,0.027,6
1,0.565,0.45,0.115,0.9085,0.398,0.197,0.29,17
1,0.41,0.325,0.12,0.3745,0.158,0.081,0.125,12
3,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,9
3,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035,6
3,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125,8
2,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7
2,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9
2,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20
2,0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335,8
3,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6
1,0.685,0.55,0.19,1.885,0.89,0.41,0.4895,10
1,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,10
2,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8
1,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,6
