Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
3,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7
3,0.525,0.4,0.14,0.6955,0.2405,0.16,0.253,10
2,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11
1,0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745,9
3,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,8
1,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,8
2,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,18
1,0.62,0.47,0.145,1.0865,0.511,0.2715,0.2565,10
3,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,8
2,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,11
3,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6
1,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
2,0.625,0.495,0.16,1.234,0.6335,0.192,0.35,13
1,0.65,0.52,0.175,1.2655,0.615,0.2775,0.336,9
3,0.495,0.38,0.12,0.512,0.233,0.1205,0.136,7
1,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
2,0.615,0.475,0.175,1.194,0.559,0.259,0.3165,11
3,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,7
2,0.505,0.385,0.115,0.616,0.243,0.1075,0.21,11
3,0.58,0.445,0.125,0.7095,0.303,0.1405,0.235,9
1,0.645,0.5,0.175,1.5105,0.6735,0.3755,0.3775,12
2,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,8
1,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,12
1,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12
1,0.6,0.475,0.175,1.11,0.5105,0.256,0.285,9
3,0.52,0.395,0.135,0.633,0.2985,0.1295,0.175,9
1,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22
2,0.53,0.43,0.17,0.775,0.35,0.152,0.235,17
2,0.725,0.57,0.205,1.6195,0.744,0.315,0.488,11
2,0.54,0.475,0.155,0.928,0.394,0.194,0.26,11
1,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,13
2,0.675,0.55,0.175,1.689,0.694,0.371,0.474,13
1,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7
1,0.67,0.535,0.19,1.669,0.7465,0.2935,0.508,11
2,0.56,0.43,0.15,0.8745,0.453,0.161,0.22,8
2,0.52,0.425,0.145,0.7,0.207,0.1905,0.24,13
3,0.51,0.39,0.125,0.597,0.293,0.1265,0.1555,8
3,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,8
1,0.635,0.48,0.19,1.467,0.5825,0.303,0.42,15
2,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,8
1,0.425,0.34,0.12,0.388,0.149,0.087,0.125,10
1,0.59,0.44,0.15,0.8725,0.387,0.215,0.245,8
1,0.55,0.405,0.15,0.9235,0.412,0.2135,0.24,7
3,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,7
1,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11
2,0.6,0.465,0.165,0.8875,0.309,0.246,0.262,12
1,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
3,0.37,0.275,0.08,0.2325,0.093,0.056,0.072,6
1,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10
2,0.615,0.455,0.145,1.1155,0.5045,0.238,0.315,10
