Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
1,0.625,0.485,0.16,1.2135,0.631,0.2235,0.302,9
1,0.51,0.415,0.145,0.751,0.3295,0.1835,0.203,8
1,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,16
2,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17
2,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9
2,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,14
2,0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,9
1,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,19
3,0.425,0.325,0.1,0.398,0.1185,0.0645,0.0945,6
1,0.65,0.51,0.155,1.407,0.7215,0.298,0.335,9
2,0.64,0.505,0.19,1.2765,0.4835,0.328,0.4,12
1,0.715,0.52,0.18,1.6,0.708,0.3525,0.445,12
2,0.525,0.43,0.165,0.717,0.289,0.1745,0.195,10
2,0.695,0.55,0.185,1.679,0.805,0.4015,0.3965,10
3,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5
1,0.64,0.525,0.2,1.3765,0.44,0.3075,0.47,16
3,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038,6
3,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4
1,0.41,0.335,0.115,0.4405,0.19,0.085,0.135,8
1,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11
2,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10
1,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12
2,0.585,0.435,0.175,0.982,0.4055,0.2495,0.27,10
1,0.55,0.46,0.13,0.7085,0.305,0.1455,0.205,12
2,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,9
1,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9
1,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,10
1,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,18
2,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,10
1,0.615,0.475,0.175,1.224,0.6035,0.261,0.311,9
1,0.635,0.48,0.235,1.064,0.413,0.228,0.36,16
2,0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,15
3,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,9
1,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,10
3,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16
1,0.555,0.45,0.145,0.915,0.4,0.246,0.285,11
3,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7
1,0.53,0.42,0.135,0.675,0.294,0.156,0.1825,10
2,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23
2,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10
1,0.615,0.48,0.185,1.2205,0.4985,0.315,0.33,10
2,0.615,0.495,0.165,1.198,0.5415,0.2865,0.3185,10
3,0.215,0.17,0.055,0.0605,0.0205,0.014,0.02,6
3,0.505,0.38,0.135,0.5385,0.2645,0.095,0.165,9
1,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,9
1,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035,10
1,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,12
3,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5
3,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5
1,0.58,0.455,0.17,0.93,0.408,0.259,0.22,9
