Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
3,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,8
3,0.34,0.25,0.075,0.1785,0.0665,0.0455,0.045,5
1,0.7,0.55,0.175,1.4405,0.6565,0.2985,0.375,12
1,0.58,0.46,0.15,1.049,0.5205,0.1935,0.305,10
3,0.52,0.415,0.14,0.6375,0.308,0.1335,0.168,9
3,0.375,0.245,0.1,0.394,0.166,0.091,0.1125,6
2,0.57,0.45,0.15,0.9645,0.531,0.189,0.209,9
2,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,20
1,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,12
2,0.385,0.305,0.125,0.314,0.146,0.0555,0.08,10
1,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
2,0.655,0.53,0.19,1.428,0.493,0.318,0.565,18
1,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7
1,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,9
2,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7
3,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5
3,0.42,0.325,0.115,0.354,0.1625,0.064,0.105,8
3,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,6
3,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,7
1,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8
1,0.63,0.53,0.18,1.2795,0.618,0.256,0.315,9
3,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,8
2,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,10
1,0.46,0.355,0.14,0.491,0.207,0.115,0.174,10
2,0.47,0.365,0.12,0.582,0.29,0.092,0.146,8
1,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277,10
1,0.53,0.425,0.155,0.7905,0.307,0.171,0.2595,9
3,0.41,0.325,0.1,0.394,0.208,0.0655,0.106,6
3,0.435,0.325,0.105,0.335,0.136,0.065,0.115,8
1,0.4,0.315,0.105,0.287,0.1135,0.037,0.113,10
1,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14
3,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7
1,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,9
2,0.64,0.5,0.17,1.5175,0.693,0.326,0.409,11
2,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6
3,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615,8
1,0.67,0.5,0.2,1.269,0.576,0.2985,0.351,11
3,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078,8
1,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8
3,0.42,0.33,0.1,0.352,0.1635,0.089,0.1,9
3,0.43,0.335,0.105,0.378,0.188,0.0785,0.09,6
3,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8
3,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5
1,0.645,0.5,0.16,1.3815,0.672,0.326,0.315,9
3,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,9
2,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9
3,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,9
1,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,11
3,0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,11
3,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23,6
