Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
3,0.55,0.425,0.13,0.664,0.2695,0.163,0.21,8
3,0.35,0.265,0.095,0.199,0.073,0.049,0.06,5
2,0.525,0.4,0.135,0.714,0.318,0.138,0.208,10
2,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10
1,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17
2,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12
2,0.585,0.445,0.14,0.913,0.4305,0.2205,0.253,10
2,0.58,0.445,0.135,0.95,0.484,0.182,0.2325,8
2,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11
2,0.57,0.435,0.15,0.8295,0.3875,0.156,0.245,10
2,0.57,0.45,0.135,0.7805,0.3345,0.185,0.21,8
2,0.62,0.435,0.155,1.012,0.477,0.236,0.275,8
2,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10
2,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10
2,0.655,0.505,0.175,1.2905,0.6205,0.2965,0.326,10
1,0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,10
3,0.43,0.325,0.105,0.309,0.119,0.08,0.098,6
1,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,10
1,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,16
2,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9
3,0.4,0.31,0.1,0.306,0.13,0.06,0.094,6
3,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675,5
3,0.45,0.335,0.095,0.3505,0.1615,0.0625,0.1185,7
1,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,10
2,0.57,0.44,0.19,1.018,0.447,0.207,0.265,9
1,0.525,0.405,0.135,0.7575,0.3305,0.216,0.195,10
2,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10
3,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8
1,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12
2,0.58,0.435,0.15,0.839,0.3485,0.207,0.192,7
3,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13
1,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14
3,0.52,0.4,0.14,0.622,0.278,0.1455,0.169,8
1,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,11
3,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,8
1,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,12
3,0.635,0.5,0.165,1.489,0.715,0.3445,0.3615,13
1,0.545,0.44,0.165,0.744,0.2875,0.204,0.25,15
2,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.553,12
3,0.18,0.135,0.08,0.033,0.0145,0.007,0.01,5
1,0.575,0.45,0.165,0.9655,0.498,0.19,0.23,8
2,0.52,0.41,0.16,0.712,0.2845,0.153,0.225,10
3,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6
2,0.645,0.49,0.16,1.144,0.5015,0.289,0.319,8
3,0.545,0.42,0.125,0.717,0.358,0.112,0.22,8
1,0.625,0.5,0.175,1.0565,0.4615,0.258,0.305,10
3,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7
2,0.71,0.545,0.175,1.907,0.8725,0.4565,0.475,11
2,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10
1,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11
